unit_base,unit_awake,mat_1,mat_1_num,mat_2,mat_2_num,mat_3,mat_3_num,mat_4,mat_4_num,mat_5,mat_5_num
onimaru_kunitsuna-6,onimaru_kunitsuna-ua,little_humpty,1,ame_no_murakumo-6,99,masamune-6,99,muramasa-6,99,n/a,0
gram-6,gram-ua,little_humpty,1,balmung,99,laevateinn,99,excalibur,99,n/a,0
longinus-6,longinus-ua,little_humpty,1,gungnir-6,99,trident-6,99,gae_bolg-6,99,n/a,0
thyrsos-6,thyrsos-ua,little_humpty,1,caduceus-6,99,sha_wujing-6,99,gambanteinn-6,99,n/a,0
mistilteinn-6,mistilteinn-ua,little_humpty,1,pinaka,99,failnaught,99,ame_no_makako,99,n/a,0
bonanza-ua-accel,bonanza-ua,bonanza-6,99,green_liddell_note,50,green_liddell_paper,50,green_liddell_piece,50,n/a,0
rose-ua-accel,rose-ua,rose-6,99,red_liddell_note,50,red_liddell_paper,50,red_liddell_piece,50,n/a,0
sophia-ua-accel,sophia-ua,sophia-6,99,yellow_liddell_note,50,yellow_liddell_paper,50,yellow_liddell_piece,50,n/a,0
azathoth-5,azathoth-red,cthugha-5,75,mi-go-5,75,cthulhu-5,75,tsathoggua-5,75,ubbo-sathla-5,75
azathoth-5,azathoth-green,shub-niggurath-5,75,cthugha-5,75,cthulhu-5,75,tsathoggua-5,75,ubbo-sathla-5,75
azathoth-5,azathoth-blue,yog-sothoth-5,75,shub-niggurath-5,75,mi-go-5,75,cthulhu-5,75,ubbo-sathla-5,75
azathoth-5,azathoth-yellow,yog-sothoth-5,75,cthugha-5,75,mi-go-5,75,cthulhu-5,75,ubbo-sathla-5,75
lee-do-6,lee-do-ua,lee_bangwon-5,50,lee_sunggye-5,50,yeonsangun-5,50,jang_hui-bin-5,50,sejo_of_joseon-5,50
donghai_longwang-5,donghai_longwang-6,lan_caihe-5,1,zhang_guolao-5,1,cao_guojiu-5,1,zhongli_quan-5,1,azure_dragon_horn,10
donghai_longwang-6,donghai_longwang-ua,cao_cao-5,50,zhong_kui-5,50,han_fei-5,50,taotie-5,50,azure_dragon_horn,99
almagest-2,almagest-3,taurus-5,1,pisces-5,1,aries-5,1,aquarius-5,1,almagest-1,1
almagest-3,almagest-4,aquarius-5,10,capricorn-5,10,sagittarius-5,10,gemini_sister-5,10,almagest-1,10
almagest-4,almagest-5,taurus-5,40,pisces-5,40,aries-5,40,gemini_sister-5,40,almagest-1,40
almagest-5,almagest-6,taurus-5,99,aries-5,99,capricorn-5,99,gemini_sister-5,99,almagest-1,99
almagest-5,almagest-ua,pisces-5,99,aquarius-5,99,sagittarius-5,99,gemini_sister-5,99,almagest-1,99
almagest-6,almagest-ua,ophiuchus-5,1,ophiuchus-red,1,ophiuchus-green,1,ophiuchus-blue,1,ophiuchus-yellow,1
almagest-ua,almagest-6,ophiuchus-5,1,ophiuchus-red,1,ophiuchus-green,1,ophiuchus-blue,1,ophiuchus-yellow,1
mutated_taowu-5,mutated_taowu-6,awakening_charm,99,yao-6,50,mutated_taotie-6,50,mutated_qiong_qi-6,50,mutated_hun_dun-6,50
abomination-5,abomination-6,little_humpty,3,dynamo_dormouse,8,yellow_hatter,8,yellow_caterpillar,8,yellow_rabbit,8
erosion-5,erosion-6,little_humpty,5,hades,5,gilles_de_rais,5,n/a,0,n/a,0
distortion-5,distortion-6,little_humpty,5,cont_jeanne,5,anubis,5,n/a,0,n/a,0
fraud-5,fraud-6,little_humpty,5,cont_freyr,5,cont_oz-5,5,n/a,0,n/a,0
despair-5,despair-6,little_humpty,5,kojiro_sasaki,5,jp_azathoth-5,5,n/a,0,n/a,0
falter-5,falter-6,little_humpty,5,cont_jeanne,5,gogh-5,5,n/a,0,n/a,0
dormouse_cl-5,dormouse_cl-6,loki-5,1,dynamo_dormouse,1,n/a,0,n/a,0,n/a,0
rosen-5,rosen-6,lucifer-5,1,lu_bu-5,1,n/a,0,n/a,0,n/a,0
shiva_cmr-tn-5,shiva_cmr-tn-6,kama-4,1,shiva-4,1,tezcatlipoca-5,1,n/a,0,n/a,0
lord_jerry-5,lord_jerry-6,jerry-1,5,azazel-4,1,loki-5,1,n/a,0,n/a,0
onsen_yomi-5,onsen_yomi-6,tsukuyomi,1,n/a,0,n/a,0,n/a,0,n/a,0
blossom_rap_hokusai-5,blossom_rap_hokusai-6,hideyoshi_toyotomi-5,1,ieyasu_tokugawa-5,1,n/a,0,n/a,0,n/a,0
dm_hou_yi_chang_e-5,dm_hou_yi_chang_e-6,promise_of_protection,99,dm_chang_e,50,jin_wu,50,hou_yi-6,50,wu_gang-6,50
xing_tian-6,xing_tian-ua,xing_tian_warrior_spirit,1,n/a,0,n/a,0,n/a,0,n/a,0
moriarty-5,moriarty-6,little_humpty,2,grimm-4,1,louis_xvi-5,1,fiend_w_20_faces-5,1,moriarty_black_lantern,1
cont_oz-5,cont_oz-6,zeus-5,1,oz-4,1,n/a,0,n/a,0,n/a,0
oi-5,oi-6,andersen-5,1,lupica-5,1,n/a,0,n/a,0,n/a,0
gogh-5,gogh-6,lu_bu-5,1,n/a,0,n/a,0,n/a,0,n/a,0
taowu-5,taowu-6,taotie-5,5,qiong_qi-5,5,hun_dun-5,3,little_humpty,3,n/a,0
yao-5,yao-6,little_humpty,1,taotie-6,10,qiong_qi-6,10,hun_dun-6,10,taowu-6,10
pu_songling-5,pu_songling-6,little_humpty,1,ban_gu-5,1,hui_shi-5,1,huainanzi-5,1,painted_skin-5,1
kui_mu_lang-5,kui_mu_lang-6,little_humpty,1,flaming_dodo,10,black_rose,20,red_hatter,10,n/a,0
bai_hua_xiu-5,bai_hua_xiu-6,little_humpty,1,deep_sea_turtle,10,red_peony,20,blue_hatter,10,n/a,0
ubbo-sathla-5,ubbo-sathla-6,little_humpty,1,g-star_children-4,1,gareth-4,1,fiend_w_20_faces-5,1,ultrastellar_tablet,1
cthulhu-5,cthulhu-6,little_humpty,2,tiamat-5,1,shakespeare-5,1,hanbei_takenaka-5,1,chaotic_sample,1
sagittarius-5,sagittarius-6,taurus-5,5,pisces-5,5,aries-5,5,aquarius-5,5,capricorn-5,5
gemini_sister-5,gemini_sister-6,ophiuchus-5,1,ophiuchus-red,1,ophiuchus-green,1,ophiuchus-blue,1,ophiuchus-yellow,1
sejo_of_joseon-5,sejo_of_joseon-6,little_humpty,1,beelzebub-5,1,dong_zhuo-5,1,uranus-5,1,jekyll_hyde-5,1
shu_e-5,shu_e-6,tome_of_calamity,10,du_fu-5,20,li_he-5,20,li_qingzhao-5,20,ouyang_xiu-5,20
shu_e-5,shu_e-ua,tome_of_calamity,10,du_fu-5,20,li_he-5,20,li_qingzhao-5,20,ouyang_xiu-5,20
shu_e-6,shu_e-ua,tome_of_calamity,1,green_rabbit,1,green_caterpillar,1,green_hatter,1,n/a,0
shu_e-ua,shu_e-6,tome_of_calamity,1,green_rabbit,1,green_caterpillar,1,green_hatter,1,n/a,0
koj_force_oda_tokugawa-5,koj_force_oda_tokugawa-6,little_humpty,3,nobunaga_oda-5,3,ieyasu_tokugawa-5,2,arthur-4,1,dynamo_dormouse,3
hero_alliance-5,hero_alliance-6,little_humpty,3,alexander-5,3,gilgamesh-5,2,arthur-4,1,dynamo_dormouse,3
s_d_b-5,s_d_b-6,chika-3,1,pazuzu-4,1,n/a,0,n/a,0,n/a,0
dodo-5,dodo-6,loki-5,1,flaming_dodo,1,n/a,0,n/a,0,n/a,0
natsume_akutagawa-5,natsume_akutagawa-6,krampus-5,1,n/a,0,n/a,0,n/a,0,n/a,0
hallucigenia_cl-5,hallucigenia_cl-6,ying_zheng-5,1,n/a,0,n/a,0,n/a,0,n/a,0
smilodon-5,smilodon-6,qilin-4,1,n/a,0,n/a,0,n/a,0,n/a,0
william-5,william-6,set-5,1,kafka-5,1,n/a,0,n/a,0,n/a,0
isekai_azazel-5,isekai_azazel-6,gilgamesh-5,1,n/a,0,n/a,0,n/a,0,n/a,0
xmas_galileo_galilei-6,xmas_galileo_galilei-6,xmas_galileo-5,1,n/a,0,n/a,0,n/a,0,n/a,0
noin-5,noin-6,hideyoshi_toyotomi-5,1,hou_yi-5,1,n/a,0,n/a,0,n/a,0
thetis_cmr-tn-5,thetis_cmr-tn-6,persephone-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ny_hera-5,ny_hera-6,hera-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ny_leviathan-5,ny_leviathan-6,jerry-1,3,ieyasu_tokugawa-5,1,n/a,0,n/a,0,n/a,0
virbu-5,virbu-6,sandalphon-5,1,n/a,0,n/a,0,n/a,0,n/a,0
gennai_hiraga-5,gennai_hiraga-6,ying_zheng-5,1,n/a,0,n/a,0,n/a,0,n/a,0
valentines_tsukuyomi-5,valentines_tsukuyomi-6,amaterasu-4,1,wakahirume-5,1,n/a,0,n/a,0,n/a,0
valentines_tsukuyomi-5,valentines_tsukuyomi-ua,manager_macaron,1,amaterasu-4,1,wakahirume-5,1,n/a,0,n/a,0
valentines_tsukuyomi-6,valentines_tsukuyomi-ua,manager_macaron,1,n/a,0,n/a,0,n/a,0,n/a,0
valentines_tsukuyomi-ua,valentines_tsukuyomi-6,deep_sea_turtle,1,n/a,0,n/a,0,n/a,0,n/a,0
onsen_dong_zhuo-5,onsen_dong_zhuo-6,lu_bu-5,1,n/a,0,n/a,0,n/a,0,n/a,0
blossom_rap_kagutsuchi-5,blossom_rap_kagutsuchi-6,qilin-4,1,n/a,0,n/a,0,n/a,0,n/a,0
singer_columbus-6,singer_columbus-ua,columbus-6,99,travel_columbus-6,99,travel_michelangelo-6,99,singer_columbus-6,99,columbus_trunk,99
xmas_nakoto-5,xmas_nakoto-6,flaming_dodo,1,thousand_gales_griffon,2,deep_sea_turtle,2,dynamo_dormouse,5,n/a,0
xmas_virgo_taurus-5,xmas_virgo_taurus-6,little_humpty,2,red_hatter,2,gael-4,1,jeanne-4,1,red_hare-4,1
travel_yog-sothoth-6,travel_yog-sothoth-ua,yog-sothoth-6,99,travel_yog-sothoth-6,99,mysterious_merchant_mask,99,plague_doctor_mask,99,artiglio_scheggatio,99
walpurgisnacht-5,walpurgisnacht-6,little_humpty,2,thousand_gales_griffon,3,n/a,0,n/a,0,n/a,0
accelerator-5,accelerator-6,little_humpty,3,thousand_gales_griffon,3,green_hatter,3,green_caterpillar,3,green_rabbit,3
ellen_m_mathers-5,ellen_m_mathers-6,little_humpty,2,deep_sea_turtle,3,n/a,0,n/a,0,n/a,0
ellen_m_mathers-5,ellen_m_mathers-ua,shido,1,n/a,0,n/a,0,n/a,0,na,0
ellen_m_mathers-6,ellen_m_mathers-ua,shido,1,n/a,0,n/a,0,n/a,0,n/a,0
ellen_m_mathers-ua,ellen_m_mathers-6,deep_sea_turtle,1,n/a,0,n/a,0,n/a,0,n/a,0
gothic_rock_meiko-5,gothic_rock_meiko-6,little_humpty,2,flaming_dodo,3,n/a,0,n/a,0,n/a,0
bonanza-5,bonanza-6,little_humpty,2,bonanza_veil,1,n/a,0,n/a,0,n/a,0
rose-5,rose-6,little_humpty,2,rose_thruster,1,n/a,0,n/a,0,n/a,0
sophia-5,sophia-6,little_humpty,2,sophia_crown,1,n/a,0,n/a,0,n/a,0
elly-5,elly-6,little_humpty,2,elly_corsage,1,n/a,0,n/a,0,n/a,0
gung_ye-5,gung_ye-6,little_humpty,2,thousand_gales_griffon,3,n/a,0,n/a,0,n/a,0
