unit,unit_shorthand,unit_full_title,origin,cost,search_name
onimaru_kunitsuna-6,Onimaru Kunitsuna 6★,Onimaru Kunitsuna,Ranking Point Exchange,68,Onimaru Kunitsuna 6
onimaru_kunitsuna-ua,Onimaru Kunitsuna UA,Dreamblade Onimaru Kunitsuna,Ranking Point Exchange,68,Onimaru Kunitsuna UA
gram-6,Gram 6★,Gram,Ranking Point Exchange,68,Gram 6
gram-ua,Gram UA,Locked Magic Sword Gram,Ranking Point Exchange,68,Gram UA
longinus-6,Longinus 6★,Longinus,Ranking Point Exchange,68,Longinus 6
longinus-ua,Longinus UA,Sacred Crimson Spear Longinus,Ranking Point Exchange,68,Longinus UA
thyrsos-6,Thyrsos 6★,Thyrsos,Ranking Point Exchange,68,Thyrsos 6
thyrsos-ua,Thyrsos UA,Miraculous Staff Thyrsos,Ranking Point Exchange,68,Thyrsos UA
aegis-6,Aegis 6★,Aegis,Ranking Point Exchange,68,Aegis 6
aegis-ua,Aegis UA,Extraordinary Warshield Aegis,Ranking Point Exchange,68,Aegis UA
mistilteinn-6,Mistilteinn 6★,ミストルテイン,Ranking Point Exchange,68,Mistilteinn 6
mistilteinn-ua,Mistilteinn UA,宿静の覚弓ミストルテイン,Ranking Point Exchange,68,Mistilteinn UA
bonanza-ua-accel,Bonanza UA Accelerator,Anger Accelerator,Avaricia Tower F15,68,Bonanza UA Accelerator
bonanza-ua,Bonanza UA,True Queen of Avaricia Bonanza,Avaricia Tower F15,68,Bonanza UA
rose-ua-accel,Rose UA Accelerator,Rapture Accelerator,Elfram Tower F15,68,Rose UA Accelerator
rose-ua,Rose UA,True Queen of Elfram Rose,Elfram Tower F15,68,Rose UA
sophia-ua-accel,Sophia UA Accelerator,Delight Accelerator,Chandille Tower F15,68,Sophia UA Accelerator
sophia-ua,Sophia UA,True Queen of Chandille Sophia,Chandille Tower F15,68,Sophia UA
elly-ua-accel,Elly UA Accelerator,Sorrow Accelerator,Lucial Tower F15,68,Elly UA Accelerator
elly-ua,Elly UA,True Queen of Lucial Elly,Lucial Tower F15,68,Elly UA
azathoth-5,Azathoth 5★,The Egg of Azathoth,Azathoth Rebirth,68,Azathoth 5
azathoth-red,Red Azathoth 6★,Crimson-Winged Mech Azathoth,Azathoth Rebirth,68,Red Azathoth 6
azathoth-green,Green Azathoth 6★,Viridian-Winged God Azathoth,Azathoth Rebirth,68,Green Azathoth 6
azathoth-blue,Blue Azathoth 6★,Azure-Winged Demon Azathoth,Azathoth Rebirth,68,Blue Azathoth 6
azathoth-yellow,Yellow Azathoth 6★,Light-Winged Dragon Azathoth,Azathoth Rebirth,68,Yellow Azathoth 6
lee-do-6,Lee-Do 6★,Lee-Do,Dragon Point Exchange,68,Lee-Do 6
lee-do-ua,Lee-Do UA,Heavenly Dragon Lee-Do,Dragon Point Exchange,68,Lee-Do UA
donghai_longwang-5,Donghai Longwang 5★,Donghai Longwang,Ocean of Dark Flames,68,Donghai Longwang 5
donghai_longwang-6,Donghai Longwang 6★,Obliterating Donghai Longwang,Ocean of Dark Flames,68,Donghai Longwang 6
donghai_longwang-ua,Donghai Longwang UA,Conquering Donghai Longwang,Ocean of Dark Flames,68,Donghai Longwang UA
almagest-2,Almagest 2★,Primordial Embryo Almagest,Stardust Exchange,68,Almagest 2
almagest-3,Almagest 3★,Pronuclear Embryo Almagest,Stardust Exchange,68,Almagest 3
almagest-4,Almagest 4★,Fetal Age Almagest,Stardust Exchange,68,Almagest 4
almagest-5,Almagest 5★,Self-Conscious Almagest,Stardust Exchange,68,Almagest 5
almagest-6,Almagest 6★,Final Protection Almagest,Stardust Exchange,68,Almagest 6
almagest-ua,Almagest UA,End of Evolution Almagest,Stardust Exchange,68,Almagest UA
mutated_taowu-5,Mutated Taowu 5★,Enchanted Seal・Yellow,Tower of Four Perils F16,68,Mutated Taowu 5
mutated_taowu-6,Mutated Taowu 6★,Monstrous Crime Sermons Taowu,Tower of Four Perils F16,68,Mutated Taowu 6
abomination-5,Abomination 5★,アボミネーション,Abomination Manifests!,68,Abomination 5
abomination-6,Abomination 6★,災害類I型 アボミネーション,Abomination Manifests!,68,Abomination 6
erosion-5,Erosion 5★,イロウジョン,Erosion Manifests!,68,Erosion 5
erosion-6,Erosion 6★,災害類II型 イロウジョン,Erosion Manifests!,68,Erosion 6
distortion-5,Distortion 5★,ディストーション,Distortion Manifests!,68,Distortion 5
distortion-6,Distortion 6★,災害類III型 ディストーション,Distortion Manifests!,68,Distortion 6
fraud-5,Fraud 5★,フロード,Fraud Manifests!,68,Fraud 5
fraud-6,Fraud 6★,災害類IV型 フロード,Fraud Manifests!,68,Fraud 6
despair-5,Despair 5★,ディスペァ,Despair Manifests!,68,Despair 5
despair-6,Despair 6★,災害類V型 ディスペァ,Despair Manifests!,68,Despair 6
falter-5,Falter/Fault 5★,フォルタ,Falter Manifests!,68,Falter 5
falter-6,Falter/Fault 6★,災害類VI型 フォルタ,Falter Manifests!,68,Falter 6
jupiter-ua-slave_core,Jupiter UA Slave Core,緑のスレイヴコア,True Creeping Threat,68,Jupiter UA Slave Core
jupiter-ua,Jupiter UA,陛下護る黙征 ジュピター,True Creeping Threat,68,Jupiter UA
dormouse_cl-5,Dormouse CL 5★,予選ターゲットD<CL>,Preliminary Target D <CL>,63,Dormouse CL 5
dormouse_cl-6,Dormouse CL 6★,変新醒 眠りネズミ<CL>,Preliminary Target D <CL>,63,Dormouse CL 6
rosen-5,Rosen 5★,ローゼン,Apostle of Despair,63,Rosen 5
rosen-6,Rosen 6★,世棄の時逆者 ローゼン,Apostle of Despair,63,Rosen 6
shiva_cmr-tn-5,Shiva CMR-TN 5★,シヴァCMR-TN,Barrage of Love and Destruction,63,Shiva CMR-TN 5
shiva_cmr-tn-6,Shiva CMR-TN 6★,滅射異形神 シヴァCMR-TN,Barrage of Love and Destruction,63,Shiva CMR-TN 6
lord_jerry-5,Lord Jerry 5★,ジェリ神様,I'm God Jerry,63,Lord Jerry 5
lord_jerry-6,Lord Jerry 6★,驚慶の偉子 ジェリ神様,I'm God Jerry,63,Lord Jerry 6
onsen_yomi-5,Onsen Yomi 5★,戦身磨く泡鬼神 ヨミ,Detective Ranpo's Case File -3rd Act-,63,Onsen Yomi 5
